"","Estimate","Est.Error","l.95..CI","u.95..CI","Rhat","Bulk_ESS","Tail_ESS"
"rescor(ethicalPreference,financialPreference)",0.799731606273562,0.0381069176563678,0.7155826838894,0.865453616418582,1.00052197877217,6592,11232
"rescor(ethicalPreference,socialPreference)",0.797586264135931,0.0401095224839642,0.710172712182462,0.866688056457146,1.00013862637591,6930,10919
"rescor(financialPreference,socialPreference)",0.807912176059678,0.0371584413303532,0.725742201731413,0.870888213407116,1.00025092003887,7792,11703
"rescor(ethicalPreference,healthAndSafetyPreference)",0.832796701341128,0.0329382368429297,0.760198657609108,0.889396691613664,1.00010360250364,6976,10829
"rescor(financialPreference,healthAndSafetyPreference)",0.805982082829359,0.037555776830387,0.722782477398411,0.869539747474764,1.00044368736804,7675,11399
"rescor(socialPreference,healthAndSafetyPreference)",0.813712933338358,0.0367825195307489,0.732686636553821,0.875940025959052,1.00014495970893,7962,11921
"rescor(ethicalPreference,recreationalPreference)",0.830279533974015,0.0332727056782081,0.756428601642368,0.886347460913191,1.00015322906744,8220,12133
"rescor(financialPreference,recreationalPreference)",0.778930001476866,0.0422218879267144,0.685515505413108,0.851070950759801,1.00013074942237,8022,11702
"rescor(socialPreference,recreationalPreference)",0.743125129191137,0.0489574347180234,0.635331596266762,0.827243237193177,1.00015295076691,8081,11897
"rescor(healthAndSafetyPreference,recreationalPreference)",0.783543370557631,0.0408564583652289,0.694015323264954,0.853886301856231,0.999960998049028,8133,11982
