Question,Group
dominance,DoPL
prestige,DoPL
leadership,DoPL
Ethical Questions,Risk
Financial Questions,Risk
Health and Safety Questions,Risk
Recreational Questions,Risk
Social Questions,Risk
Ethical Questions,Benefit
Financial Questions,Benefit
Health and Safety Questions,Benefit
Recreational Questions,Benefit
Social Questions,Benefit
Ethical Questions,Perception
Financial Questions,Perception
Health and Safety Questions,Perception
Recreational Questions,Perception
Social Questions,Perception
