"","Package","Version"
"BH","BH","1.78.0-0"
"BayesFactor","BayesFactor","0.9.12-4.3"
"Brobdingnag","Brobdingnag","1.2-6"
"DBI","DBI","1.1.1"
"DT","DT","0.20"
"DiagrammeR","DiagrammeR","1.0.6.1"
"GGally","GGally","2.1.2"
"HDInterval","HDInterval","0.2.2"
"JGmisc","JGmisc","0.3"
"MatrixModels","MatrixModels","0.5-0"
"ModelMetrics","ModelMetrics","1.2.2.2"
"R.cache","R.cache","0.15.0"
"R.methodsS3","R.methodsS3","1.8.1"
"R.oo","R.oo","1.24.0"
"R.utils","R.utils","2.11.0"
"R6","R6","2.5.1"
"RColorBrewer","RColorBrewer","1.1-2"
"RCurl","RCurl","1.98-1.5"
"Rcpp","Rcpp","1.0.7"
"RcppArmadillo","RcppArmadillo","0.10.7.3.0"
"RcppEigen","RcppEigen","0.3.3.9.1"
"RcppParallel","RcppParallel","5.1.4"
"SQUAREM","SQUAREM","2021.1"
"SparseM","SparseM","1.81"
"StanHeaders","StanHeaders","2.26.4"
"V8","V8","3.6.0"
"abind","abind","1.4-7"
"arrayhelpers","arrayhelpers","1.1-0"
"askpass","askpass","1.1"
"assertthat","assertthat","0.2.1"
"backports","backports","1.4.1"
"base64enc","base64enc","0.1-3"
"bayesplot","bayesplot","1.8.1"
"bayestestR","bayestestR","0.11.5"
"benchmarkme","benchmarkme","1.0.7"
"benchmarkmeData","benchmarkmeData","1.0.4"
"bit","bit","4.0.4"
"bit64","bit64","4.0.5"
"bitops","bitops","1.0-7"
"blob","blob","1.2.2"
"bookdown","bookdown","0.24"
"brew","brew","1.0-6"
"bridgesampling","bridgesampling","1.1-2"
"brio","brio","1.1.3"
"brms","brms","2.16.3"
"broom","broom","0.7.10"
"bslib","bslib","0.3.1"
"cachem","cachem","1.0.6"
"callr","callr","3.7.0"
"car","car","3.0-12"
"carData","carData","3.0-4"
"cellranger","cellranger","1.1.0"
"checkmate","checkmate","2.0.0"
"cli","cli","3.1.0"
"clipr","clipr","0.7.1"
"cmdstanr","cmdstanr","0.4.0.9000"
"coda","coda","0.19-4"
"collections","collections","0.3.5"
"colorspace","colorspace","2.0-2"
"colourpicker","colourpicker","1.1.1"
"commonmark","commonmark","1.7"
"conquer","conquer","1.2.1"
"contfrac","contfrac","1.1-12"
"correlation","correlation","0.7.1"
"corrplot","corrplot","0.92"
"covr","covr","3.5.1"
"cowplot","cowplot","1.1.1"
"cpp11","cpp11","0.4.2"
"crayon","crayon","1.4.2"
"credentials","credentials","1.3.2"
"crosstalk","crosstalk","1.2.0"
"curl","curl","4.3.2"
"cyclocomp","cyclocomp","1.1.0"
"data.table","data.table","1.14.2"
"datawizard","datawizard","0.2.1"
"dbplyr","dbplyr","2.1.1"
"deSolve","deSolve","1.30"
"desc","desc","1.4.0"
"devtools","devtools","2.4.3"
"diffobj","diffobj","0.3.5"
"digest","digest","0.6.29"
"distributional","distributional","0.2.2"
"doParallel","doParallel","1.0.16"
"downloader","downloader","0.4"
"dplyr","dplyr","1.0.7"
"dtplyr","dtplyr","1.2.0"
"dygraphs","dygraphs","1.1.1.6"
"e1071","e1071","1.7-9"
"effectsize","effectsize","0.5"
"ellipsis","ellipsis","0.3.2"
"elliptic","elliptic","1.4-0"
"emmeans","emmeans","1.7.1-1"
"estimability","estimability","1.3"
"evaluate","evaluate","0.14"
"fansi","fansi","0.5.0"
"farver","farver","2.1.0"
"fastmap","fastmap","1.1.0"
"fontawesome","fontawesome","0.2.2"
"forcats","forcats","0.5.1"
"foreach","foreach","1.5.1"
"fs","fs","1.5.2"
"future","future","1.23.0"
"future.apply","future.apply","1.8.1"
"gamm4","gamm4","0.2-6"
"gargle","gargle","1.2.0"
"generics","generics","0.1.1"
"gert","gert","1.4.3"
"ggcorrplot","ggcorrplot","0.1.3"
"ggdist","ggdist","3.0.1"
"ggeffects","ggeffects","1.1.1"
"gghighlight","gghighlight","0.3.2"
"ggmcmc","ggmcmc","1.5.1.1"
"ggplot2","ggplot2","3.3.5"
"ggprism","ggprism","1.0.3"
"ggpubr","ggpubr","0.4.0"
"ggrepel","ggrepel","0.9.1"
"ggridges","ggridges","0.5.3"
"ggsci","ggsci","2.9"
"ggsignif","ggsignif","0.6.3"
"ggtext","ggtext","0.1.1"
"ggthemes","ggthemes","4.2.4"
"gh","gh","1.3.0"
"gitcreds","gitcreds","0.1.1"
"globals","globals","0.14.0"
"glue","glue","1.5.1"
"googlesheets4","googlesheets4","1.0.0"
"gower","gower","0.2.2"
"gridExtra","gridExtra","2.3"
"gridtext","gridtext","0.1.4"
"gtable","gtable","0.3.0"
"gtools","gtools","3.9.2"
"haven","haven","2.4.3"
"highr","highr","0.9"
"hms","hms","1.1.1"
"htmltools","htmltools","0.5.2"
"htmlwidgets","htmlwidgets","1.5.4"
"httpuv","httpuv","1.6.4"
"httr","httr","1.4.2"
"hypergeo","hypergeo","1.2-13"
"ids","ids","1.0.1"
"igraph","igraph","1.2.10"
"influenceR","influenceR","0.1.0.1"
"ini","ini","0.3.1"
"inline","inline","0.3.19"
"insight","insight","0.14.5"
"ipred","ipred","0.9-12"
"isoband","isoband","0.2.5"
"iterators","iterators","1.0.13"
"jpeg","jpeg","0.1-9"
"jquerylib","jquerylib","0.1.4"
"jsonlite","jsonlite","1.7.2"
"kableExtra","kableExtra","1.3.4"
"knitr","knitr","1.36"
"koRpus","koRpus","0.13-8"
"koRpus.lang.en","koRpus.lang.en","0.1-4"
"labeling","labeling","0.4.2"
"languageserver","languageserver","0.3.12"
"later","later","1.3.0"
"lava","lava","1.6.10"
"lazyeval","lazyeval","0.2.2"
"lifecycle","lifecycle","1.0.1"
"lintr","lintr","2.0.1"
"listenv","listenv","0.8.0"
"lme4","lme4","1.1-27.1"
"lobstr","lobstr","1.1.1"
"loo","loo","2.4.1"
"lubridate","lubridate","1.8.0"
"magrittr","magrittr","2.0.1"
"markdown","markdown","1.1"
"matrixStats","matrixStats","0.61.0"
"memoise","memoise","2.0.1"
"mime","mime","0.12"
"miniUI","miniUI","0.1.1.1"
"minqa","minqa","1.2.4"
"mnormt","mnormt","2.0.2"
"modelr","modelr","0.1.8"
"munsell","munsell","0.5.0"
"mvtnorm","mvtnorm","1.1-3"
"nleqslv","nleqslv","3.3.2"
"nloptr","nloptr","1.2.2.3"
"numDeriv","numDeriv","2020.2-1"
"openssl","openssl","1.4.5"
"optimx","optimx","2021-10.12"
"packrat","packrat","0.7.0"
"papaja","papaja","0.1.0.9997"
"parallelly","parallelly","1.29.0"
"parameters","parameters","0.15.0"
"pbapply","pbapply","1.5-0"
"pbkrtest","pbkrtest","0.5.1"
"performance","performance","0.8.0"
"pillar","pillar","1.6.4"
"pkgbuild","pkgbuild","1.3.0"
"pkgconfig","pkgconfig","2.0.3"
"pkgload","pkgload","1.2.4"
"plyr","plyr","1.8.6"
"png","png","0.1-7"
"polynom","polynom","1.4-0"
"posterior","posterior","1.1.0"
"praise","praise","1.0.0"
"prettyunits","prettyunits","1.1.1"
"processx","processx","3.5.2"
"prodlim","prodlim","2019.11.13"
"progress","progress","1.2.2"
"progressr","progressr","0.9.0"
"projpred","projpred","2.0.2"
"promises","promises","1.2.0.1"
"proxy","proxy","0.4-26"
"pryr","pryr","0.1.5"
"ps","ps","1.6.0"
"psych","psych","2.1.9"
"purrr","purrr","0.3.4"
"quantreg","quantreg","5.86"
"rappdirs","rappdirs","0.3.3"
"rcmdcheck","rcmdcheck","1.4.0"
"readr","readr","2.1.1"
"readxl","readxl","1.3.1"
"recipes","recipes","0.1.17"
"rematch","rematch","1.0.1"
"rematch2","rematch2","2.1.2"
"remotes","remotes","2.4.2"
"repr","repr","1.1.3"
"reprex","reprex","2.0.1"
"reshape","reshape","0.8.8"
"reshape2","reshape2","1.4.4"
"rex","rex","1.2.1"
"rlang","rlang","0.4.12"
"rmarkdown","rmarkdown","2.11"
"rmdfiltr","rmdfiltr","0.1.3"
"rngtools","rngtools","1.5.2"
"roxygen2","roxygen2","7.1.2"
"rprojroot","rprojroot","2.0.2"
"rsconnect","rsconnect","0.8.25"
"rstan","rstan","2.26.4"
"rstantools","rstantools","2.1.1"
"rstatix","rstatix","0.7.0"
"rstudioapi","rstudioapi","0.13"
"rversions","rversions","2.1.1"
"rvest","rvest","1.0.2"
"sass","sass","0.4.0"
"scales","scales","1.1.1"
"selectr","selectr","0.4-2"
"sessioninfo","sessioninfo","1.2.2"
"shiny","shiny","1.7.1"
"shinyjs","shinyjs","2.0.0"
"shinystan","shinystan","2.5.0"
"shinythemes","shinythemes","1.2.0"
"sjPlot","sjPlot","2.8.10"
"sjlabelled","sjlabelled","1.1.8"
"sjmisc","sjmisc","2.8.9"
"sjstats","sjstats","0.18.1"
"sourcetools","sourcetools","0.1.7"
"sp","sp","1.4-6"
"stringi","stringi","1.7.6"
"stringr","stringr","1.4.0"
"styler","styler","1.6.2"
"svUnit","svUnit","1.0.6"
"svgPanZoom","svgPanZoom","0.3.4"
"svglite","svglite","2.0.0"
"sylly","sylly","0.1-6"
"sylly.en","sylly.en","0.1-3"
"sys","sys","3.4"
"systemfonts","systemfonts","1.0.3"
"tensorA","tensorA","0.36.2"
"testthat","testthat","3.1.1"
"threejs","threejs","0.3.3"
"tibble","tibble","3.1.6"
"tidybayes","tidybayes","3.0.1"
"tidyr","tidyr","1.1.4"
"tidyselect","tidyselect","1.1.1"
"tidyverse","tidyverse","1.3.1"
"timeDate","timeDate","3043.102"
"tinylabels","tinylabels","0.2.2"
"tinytex","tinytex","0.35"
"tmvnsim","tmvnsim","1.0-2"
"tzdb","tzdb","0.2.0"
"usethis","usethis","2.1.5"
"utf8","utf8","1.2.2"
"uuid","uuid","1.0-3"
"vctrs","vctrs","0.3.8"
"viridis","viridis","0.6.2"
"viridisLite","viridisLite","0.4.0"
"visNetwork","visNetwork","2.1.0"
"vroom","vroom","1.5.7"
"waldo","waldo","0.3.1"
"webshot","webshot","0.5.2"
"whisker","whisker","0.4"
"withr","withr","2.4.3"
"wordcountaddin","wordcountaddin","0.3.0.9000"
"xfun","xfun","0.29"
"xml2","xml2","1.3.3"
"xmlparsedata","xmlparsedata","1.0.5"
"xopen","xopen","1.0.0"
"xtable","xtable","1.8-6"
"xts","xts","0.12.1"
"yaml","yaml","2.2.1"
"zip","zip","2.2.0"
"zoo","zoo","1.8-10"
"BiRewire","BiRewire","3.26.0"
"BiocManager","BiocManager","1.30.16"
"BiocVersion","BiocVersion","3.14.0"
"doParallel.1","doParallel","1.0.16"
"foreach.1","foreach","1.5.1"
"igraph.1","igraph","1.2.9"
"iterators.1","iterators","1.0.13"
"magrittr.1","magrittr","2.0.1"
"matrixStats.1","matrixStats","0.61.0"
"pkgconfig.1","pkgconfig","2.0.3"
"select","select","1.6"
"slam","slam","0.1-49"
"tsne","tsne","0.1-3"
